time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,6,4,93,3,SW,null
01:00:00,6,5,94,10,SW,null
02:00:00,6,4,89,11,SW,null
03:00:00,4,3,94,2,SW,null
04:00:00,3,2,94,5,SW,null
05:00:00,3,2,94,2,SE,null
06:00:00,3,2,94,13,SE,null
07:00:00,3,1,88,11,SE,null
08:00:00,3,2,94,2,SE,null
09:00:00,6,5,94,13,SE,null
10:00:00,12,8,77,13,SW,null
11:00:00,13,7,67,6,SW,null
12:00:00,15,5,52,6,SW,null
13:00:00,15,7,58,6,SW,null
14:00:00,16,4,46,10,SW,null
15:00:00,16,4,45,10,SW,null
16:00:00,16,2,40,11,SW,null
17:00:00,16,3,43,10,SW,null
18:00:00,16,3,43,6,SW,null
19:00:00,16,4,46,8,SW,null
20:00:00,15,4,49,6,SW,null
21:00:00,15,4,49,6,S,null
22:00:00,15,4,49,6,S,null
23:00:00,14,5,55,10,SW,null
