time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,17,14,84,13,NW,76.1
01:00:00,16,13,85,11,SW,71.7
02:00:00,15,13,86,11,NW,67.4
03:00:00,14,12,90,10,N,65.7
04:00:00,13,12,92,10,SW,64.7
05:00:00,13,12,92,10,W,64.7
06:00:00,13,12,92,10,SW,64.7
07:00:00,13,12,92,10,NW,64.7
08:00:00,14,12,91,8,W,66.3
09:00:00,14,13,89,10,NE,67.2
10:00:00,14,12,87,11,SE,65.6
11:00:00,14,12,84,13,W,63.3
12:00:00,14,11,81,13,SW,61.0
13:00:00,15,11,75,13,NE,58.5
14:00:00,15,11,75,11,NW,58.5
15:00:00,17,11,67,11,NW,58.1
16:00:00,18,9,59,11,NW,54.9
17:00:00,17,9,60,11,NW,53.9
18:00:00,17,9,60,11,NW,52.0
19:00:00,16,8,61,10,NW,51.0
20:00:00,15,8,63,10,NW,49.0
21:00:00,14,9,71,8,NW,51.3
22:00:00,12,9,82,8,NW,53.1
23:00:00,11,9,90,6,NW,54.2
