time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,16,12,79,3,NE,66.2
01:00:00,16,12,81,3,E,65.5
02:00:00,15,12,80,3,E,62.4
03:00:00,15,12,82,3,E,63.9
04:00:00,14,12,82,3,SW,61.7
05:00:00,14,11,84,3,SE,60.9
06:00:00,14,11,84,3,SE,60.9
07:00:00,14,12,85,3,SE,61.6
08:00:00,14,12,84,3,SE,63.2
09:00:00,17,14,84,5,N,73.0
10:00:00,18,14,75,5,NE,72.4
11:00:00,19,14,70,8,NW,72.4
12:00:00,21,14,68,5,NW,75.4
13:00:00,22,14,62,5,SW,73.6
14:00:00,22,14,62,5,NE,76.2
15:00:00,22,14,61,6,NW,75.0
16:00:00,22,14,59,5,NW,72.5
17:00:00,22,14,60,6,NW,73.7
18:00:00,22,14,64,6,NE,76.1
19:00:00,22,14,64,6,NE,76.1
20:00:00,20,14,68,5,NE,72.9
21:00:00,18,13,71,8,SE,68.5
22:00:00,18,13,74,8,SE,68.9
23:00:00,17,13,76,11,SE,68.3
