time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,14,9,69,3,SE,49.0
01:00:00,14,9,71,3,SE,50.5
02:00:00,14,9,72,2,SE,49.4
03:00:00,13,9,76,2,SE,50.3
04:00:00,13,10,79,0,SE,52.3
05:00:00,13,9,81,0,SE,51.7
06:00:00,12,9,84,0,SE,49.8
07:00:00,11,8,88,2,SE,48.5
08:00:00,11,9,89,2,SE,49.0
09:00:00,14,8,68,8,SE,46.6
10:00:00,16,8,59,11,SE,45.0
11:00:00,17,8,55,10,SE,45.0
12:00:00,18,8,50,8,E,45.5
13:00:00,20,9,48,5,E,48.5
14:00:00,21,8,42,6,SE,45.4
15:00:00,22,8,41,8,S,45.9
16:00:00,22,9,42,8,SW,48.7
17:00:00,22,8,41,10,SE,47.6
18:00:00,22,9,45,13,SE,50.5
19:00:00,20,10,52,13,SE,52.7
20:00:00,19,9,53,13,SE,51.8
21:00:00,18,9,58,13,SE,51.0
22:00:00,17,9,62,10,SE,50.8
23:00:00,16,9,65,6,SE,51.4
