time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,19,15,76,8,SE,74.7
01:00:00,19,16,80,6,SE,76.0
02:00:00,18,16,83,5,SE,76.2
03:00:00,18,16,86,5,E,76.2
04:00:00,17,15,88,3,NE,75.3
05:00:00,17,15,89,3,NE,73.5
06:00:00,16,14,90,3,NE,71.7
07:00:00,16,14,89,5,N,70.9
08:00:00,17,14,83,5,N,70.9
09:00:00,19,14,74,5,NW,70.2
10:00:00,21,14,63,5,NW,68.5
11:00:00,23,14,57,3,SW,68.7
12:00:00,25,14,51,5,SW,70.3
13:00:00,26,14,47,6,SW,69.2
14:00:00,27,14,44,10,SW,69.2
15:00:00,28,14,43,11,SW,69.9
16:00:00,28,14,43,11,SW,70.0
17:00:00,26,14,48,11,SW,70.8
18:00:00,25,14,52,11,SW,71.9
19:00:00,23,14,57,10,SW,71.2
20:00:00,22,14,62,10,SW,72.4
21:00:00,21,15,68,8,SW,74.2
22:00:00,20,15,74,8,SW,75.4
23:00:00,19,16,81,6,SW,79.8
