time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,19,16,84,6,N,80.9
01:00:00,20,16,78,10,N,80.7
02:00:00,19,16,81,11,N,81.1
03:00:00,22,16,69,19,N,82.1
04:00:00,22,16,67,19,N,79.8
05:00:00,22,16,65,16,NW,77.4
06:00:00,22,16,67,18,NW,79.8
07:00:00,21,16,71,18,NW,78.9
08:00:00,21,16,70,11,NW,77.7
09:00:00,22,13,56,16,NW,64.1
10:00:00,22,12,53,14,NW,60.6
11:00:00,24,11,45,14,NW,58.9
12:00:00,24,11,44,14,NW,57.5
13:00:00,21,12,57,16,W,60.9
14:00:00,23,12,52,11,W,63.7
15:00:00,24,11,45,11,NW,59.0
16:00:00,24,10,40,11,NW,54.2
17:00:00,24,8,34,14,NW,46.0
18:00:00,23,7,34,19,NW,43.0
19:00:00,22,6,35,19,NW,41.3
20:00:00,21,8,42,14,NW,46.4
21:00:00,13,11,87,14,SW,58.7
22:00:00,12,9,84,13,SW,52.5
23:00:00,13,8,75,14,W,48.6
