,date,lapTime,track,weather,temp,track_temp,humidity,air_pressure,wind_speed,wind_direction,rain
62,2010-10-10,99509.579,fuji,slightly cloudy,26.0,34.0,50.0,1003.0,4.0,northwest,dry
63,2010-11-07,75554.25,interlagos,sunny,24.0,49.0,62.0,924.0,6.0,southeast,dry
64,2010-11-14,103330.0,abu-dhabi,sunny / clear,28.0,31.0,60.0,1013.0,4.0,north,dry
65,2011-03-27,91715.455,albert-park,slightly cloudy,17.0,20.0,61.0,1025.0,4.0,south,dry
66,2011-04-10,103287.292,sepang,"cloudy, occasional drizzle",28.0,30.0,84.0,1005.0,1.5,turning,wet
67,2011-04-17,102235.167,shanghai,cloudy,22.0,28.0,26.0,1006.0,1.0,west,dry
68,2011-05-08,91556.087,istanbul,slightly cloudy,16.0,33.0,44.0,1001.0,6.0,northeast,dry
69,2011-05-22,89270.083,catalunya,sunny,26.0,39.0,31.0,1006.0,1.5,southeast,dry
70,2011-05-29,79151.13,de-monaco,sunny,24.0,45.0,47.0,1018.0,1.5,east,dry
71,2011-06-12,83216.458,montreal,rain,18.0,16.0,88.0,1007.0,5.0,south,wet
72,2011-06-26,104164.0,valencia,sunny,28.0,46.0,60.0,1021.0,4.5,southeast,dry
73,2011-07-10,99716.583,silverstone,"wet track, cloudy",20.0,24.0,56.0,1000.0,3.0,southwest,wet
74,2011-07-31,86414.208,hungaroring,rain,18.0,20.0,78.0,983.0,5.0,northwest,wet
75,2011-08-28,113565.609,de-spa,slightly cloudy,16.0,25.0,54.0,969.0,4.0,south,dry
76,2011-09-11,88669.95,monza,sunny,30.0,42.0,46.0,994.0,2.0,south,dry
77,2011-10-09,98636.25,fuji,very cloudy / light drizzle,24.0,31.0,30.0,1018.0,2.5,south,wet
78,2011-11-13,105399.174,abu-dhabi,sunny / clear,26.0,30.0,60.0,1013.0,2.5,north,dry
79,2011-11-27,77767.583,interlagos,slightly cloudy,24.0,42.0,58.0,924.0,4.5,southeast,dry
80,2012-03-18,91286.1,albert-park,sunny,22.0,26.0,45.0,1022.0,5.0,south,dry
81,2012-03-25,103671.292,sepang,"cloudy, rain",26.0,26.0,84.0,1004.0,2.0,northeast,wet
82,2012-04-15,101477.708,shanghai,cloudy,22.0,24.0,51.0,1009.0,1.0,northwest,dry
83,2012-04-22,98299.958,sachir,sunny,32.0,27.0,32.0,1007.0,4.1,turning,dry
84,2012-05-13,88916.625,catalunya,friendly,22.0,34.0,58.0,1004.0,3.0,southwest,dry
85,2012-05-27,79536.19,de-monaco,"cloudy, drizzle towards the end",21.0,33.0,63.0,1016.0,1.5,east,wet
86,2012-06-10,77950.917,montreal,sunny,28.0,42.0,26.0,1016.0,2.0,southwest,dry
87,2012-06-24,104374.087,valencia,sunny,27.0,44.0,64.0,1020.0,2.0,northeast,dry
88,2012-07-08,96364.5,silverstone,dry,20.0,32.0,60.0,989.0,3.0,northwest,dry
89,2012-07-29,86429.625,hungaroring,dry,31.0,44.0,41.0,981.0,3.0,southeast,dry
90,2012-09-02,118100.25,de-spa,slightly cloudy,21.0,34.0,34.0,975.0,1.0,east,dry
91,2012-09-09,89040.333,monza,slightly cloudy,28.0,40.0,33.0,995.0,1.5,southwest,dry
92,2012-10-07,97925.227,fuji,slightly cloudy,23.0,32.0,52.0,1010.0,6.0,west,dry
93,2012-11-04,106568.174,abu-dhabi,sunny / clear,30.0,32.0,54.0,1012.0,4.5,north,dry
94,2012-11-18,101411.292,indianapolis,sunny,24.0,32.0,29.0,1004.0,5.0,south,dry
95,2012-11-18,101411.292,austin,sunny,24.0,32.0,29.0,1004.0,5.0,south,dry
96,2012-11-25,79567.667,interlagos,rainy,18.0,22.0,66.0,925.0,2.0,east,wet
97,2013-03-17,90775.095,albert-park,cloudy,17.0,19.0,50.0,1022.0,4.0,south,dry
98,2013-03-24,101550.762,sepang,"rain at the beginning, slightly cloudy",24.0,30.0,70.0,1002.0,2.0,north,wet
99,2013-04-14,100927.636,shanghai,friendly,22.0,30.0,43.0,1010.0,8.0,northeast,dry
100,2013-04-21,98542.409,sachir,sunny,31.0,40.0,44.0,1002.0,8.0,north,dry
101,2013-05-12,87846.455,catalunya,dry,20.0,37.0,48.0,1005.0,2.8,southeast,dry
102,2013-05-26,79392.591,de-monaco,sunny,19.0,40.0,36.0,1012.0,2.0,east,dry
103,2013-06-09,77952.136,montreal,dry,24.0,30.0,35.0,1016.0,6.5,north,dry
104,2013-06-30,96007.409,silverstone,friendly,22.0,32.0,54.0,1002.0,5.0,west,dry
105,2013-07-28,86389.591,hungaroring,sunny,35.0,50.0,21.0,986.0,4.0,southwest,dry
106,2013-08-25,112807.273,de-spa,"cloudy, dry",21.0,26.0,52.0,964.0,3.0,north,dry
107,2013-09-08,87537.857,monza,very cloudy,26.0,32.0,58.0,996.0,3.0,east,dry
108,2013-10-13,96584.3,fuji,sunny,24.0,34.0,36.0,1013.0,6.0,northwest,dry
109,2013-11-03,105469.524,abu-dhabi,clear,32.0,34.0,51.0,1011.0,3.0,northeast,dry
110,2013-11-17,101665.048,indianapolis,sunny,31.0,36.0,56.0,991.0,2.5,south,dry
111,2013-11-17,101665.048,austin,sunny,31.0,36.0,56.0,991.0,2.5,south,dry
112,2013-11-24,76928.045,interlagos,"cloudy, light rain at the end",19.0,24.0,83.0,926.0,4.5,southeast,wet
113,2014-03-16,95133.7,albert-park,cloudy,18.0,26.0,46.0,1006.0,8.0,west,dry
114,2014-03-30,106486.762,sepang,slightly cloudy,32.0,48.0,62.0,1002.0,2.5,north,dry
115,2014-04-06,99930.864,sachir,clear,24.0,28.0,40.0,1018.0,2.6,south,dry
116,2014-04-20,103387.727,shanghai,friendly,16.0,22.0,74.0,1016.0,2.5,southwest,dry
117,2014-05-11,90842.0,catalunya,sunny,22.0,36.0,52.0,1003.0,4.0,west,dry
118,2014-05-25,82589.4,de-monaco,cloudy,20.0,29.0,47.0,1016.0,2.0,southwest,dry
119,2014-06-08,81082.85,montreal,sunny,28.0,44.0,33.0,1010.0,1.4,northwest,dry
120,2014-07-06,99400.45,silverstone,slightly cloudy,18.0,36.0,50.0,988.0,5.0,east,dry
121,2014-07-27,91013.091,hungaroring,rain & dry,23.0,31.0,80.0,986.0,2.0,north,wet
122,2014-08-24,113808.15,de-spa,cloudy,14.0,26.0,62.0,970.0,2.0,northeast,dry
123,2014-09-07,89407.318,monza,slightly cloudy,25.0,40.0,59.0,992.0,2.0,southeast,dry
124,2014-10-05,113874.095,fuji,rain,19.0,22.0,98.0,1007.0,1.5,northeast,wet
125,2014-11-02,103112.5,indianapolis,sunny,23.0,32.0,42.0,1003.0,6.0,south,dry
126,2014-11-02,103112.5,austin,sunny,23.0,32.0,42.0,1003.0,6.0,south,dry
127,2014-11-09,74361.833,interlagos,slightly cloudy,24.0,48.0,68.0,928.0,3.0,northeast,dry
128,2014-11-23,106783.8,abu-dhabi,clear,25.0,32.0,74.0,1013.0,1.5,north,dry
129,2015-03-15,92157.077,albert-park,slightly cloudy,18.0,34.0,60.0,1015.0,6.0,south,dry
130,2015-03-29,105116.632,sepang,sunny,32.0,56.0,50.0,1004.0,2.0,turning south,dry
131,2015-04-12,103841.9,shanghai,sunny,21.0,46.0,33.0,1017.0,1.4,northwest,dry
132,2015-04-19,98761.947,sachir,sunny / clear,25.0,30.0,36.0,1012.0,1.5,north,dry
133,2015-05-10,91471.85,catalunya,sunny,25.0,44.0,44.0,1010.0,1.8,northeast,dry
134,2015-05-24,79818.05,de-monaco,slightly cloudy,18.0,34.0,64.0,1014.0,1.5,west,dry
135,2015-06-07,78530.85,montreal,sunny,20.0,39.0,30.0,1016.0,4.0,north,dry
136,2015-07-05,101251.062,silverstone,cloudy / occasional rain,18.0,28.0,58.0,998.0,2.5,east,wet
137,2015-07-26,87471.85,hungaroring,sunny,23.0,44.0,34.0,985.0,3.2,east,dry
138,2015-08-23,114660.0,de-spa,cloudy,23.0,35.0,42.0,958.0,3.5,northwest,dry
139,2015-09-06,88387.556,monza,slightly cloudy,22.0,38.0,34.0,996.0,1.5,turning,dry
140,2015-09-27,98778.3,fuji,slightly cloudy,27.0,53.0,53.0,1005.0,4.5,east,dry
141,2015-10-25,107289.789,indianapolis,very cloudy,17.0,18.0,89.0,997.0,8.0,south,dry
142,2015-10-25,107289.789,austin,very cloudy,17.0,18.0,89.0,997.0,8.0,south,dry
143,2015-11-01,82595.211,mexico,slightly cloudy,23.0,52.0,39.0,782.0,1.5,northwest,dry
144,2015-11-15,76252.263,interlagos,dry,25.0,43.0,66.0,928.0,2.5,north,dry
145,2015-11-29,106506.737,abu-dhabi,clear,26.0,28.0,60.0,1016.0,1.5,south,dry
146,2016-03-20,92061.524,albert-park,slightly cloudy,22.0,31.0,46.0,1018.0,4.0,southern,dry
147,2016-04-03,96453.65,sachir,friendly,22.0,28.0,43.0,1016.0,2.0,southwest,dry
148,2016-04-17,101203.545,shanghai,sunny,21.0,37.0,37.0,1014.0,4.8,northeast,dry
149,2016-05-15,89395.0,catalunya,slightly cloudy,21.0,40.0,56.0,1003.0,2.0,north,dry
150,2016-05-29,84053.545,de-monaco,rainy,18.0,21.0,88.0,1008.0,2.0,north,wet
151,2016-06-12,77339.273,montreal,cloudy,12.0,22.0,57.0,1004.0,2.5,southeast,dry
152,2016-06-19,108281.773,valencia,slightly cloudy,32.0,42.0,34.0,1016.0,2.5,southern,dry
153,2016-07-10,102505.727,silverstone,cloudy / rain at the beginning,19.0,25.0,72.0,987.0,3.5,southwest,wet
154,2016-07-24,85276.864,hungaroring,sunny,28.0,50.0,48.0,99.0,2.4,southeast,dry
155,2016-08-28,114862.421,de-spa,sunny,26.0,38.0,56.0,966.0,5.0,northwest,dry
156,2016-09-04,87149.381,monza,slightly cloudy,29.0,37.0,48.0,994.0,1.5,north,dry
157,2016-10-02,99412.333,sepang,sunny,33.0,49.0,54.0,1002.0,2.8,west,dry
158,2016-10-09,97221.636,fuji,cloudy,21.0,26.0,57.0,1005.0,2.3,western liqueur,dry
159,2016-10-23,103524.714,indianapolis,slightly cloudy,27.0,34.0,42.0,1000.0,3.5,north,dry
160,2016-10-23,103524.714,austin,slightly cloudy,27.0,34.0,42.0,1000.0,3.5,north,dry
161,2016-10-30,83398.762,mexico,slightly cloudy,20.0,46.0,44.0,785.0,3.0,southern,dry
162,2016-11-13,87442.667,interlagos,rain,18.0,20.0,98.0,931.0,4.0,southern,wet
163,2016-11-27,106032.636,abu-dhabi,sunny / clear,26.0,28.0,64.0,1015.0,2.0,southern,dry
164,2017-03-26,88544.95,albert-park,slightly cloudy,24.0,34.0,69.0,1010.0,2.0,northwest,dry
165,2017-04-09,97538.611,shanghai,cloudy at first wet,12.0,14.0,82.0,1010.0,2.5,south,wet
166,2017-04-16,95264.316,sachir,sunny,23.0,28.0,65.0,1009.0,6.5,north,dry
167,2017-05-14,85670.944,catalunya,sunny,24.0,44.0,42.0,1009.0,1.5,southeast,dry
168,2017-05-28,76428.45,de-monaco,sunny,26.0,53.0,34.0,1020.0,1.0,north,dry
169,2017-06-11,76225.167,montreal,sunny,28.0,43.0,44.0,1006.0,2.5,southeast,dry
170,2017-07-16,92599.222,silverstone,cloudy,22.0,30.0,68.0,1004.0,1.5,west,dry
171,2017-07-30,81861.526,hungaroring,sunny,30.0,52.0,34.0,988.0,2.9,southeast,dry
172,2017-08-27,109138.947,de-spa,cloudy,23.0,34.0,56.0,969.0,1.0,southeast,dry
173,2017-09-03,85340.0,monza,sunny,25.0,37.0,26.0,989.0,0.6,east,dry
174,2017-10-01,96025.263,sepang,cloudy,30.0,36.0,68.0,1003.0,1.6,turning,dry
175,2017-10-08,96479.737,fuji,sunny,26.0,40.0,57.0,1017.0,1.8,southeast,dry
176,2017-10-22,100363.05,indianapolis,slightly cloudy,24.0,34.0,48.0,1001.0,3.0,east,dry
177,2017-10-22,100363.05,austin,slightly cloudy,24.0,34.0,48.0,1001.0,3.0,east,dry
178,2017-10-29,80813.15,mexico,leitch cloudy,21.0,42.0,33.0,781.0,1.5,east,dry
179,2017-11-12,73035.647,interlagos,slightly cloudy,29.0,57.0,20.0,919.0,1.5,turning,dry
180,2017-11-26,102766.1,abu-dhabi,sunny / clear,24.0,30.0,50.0,1018.0,2.5,northeast,dry
181,2018-03-25,88127.05,albert-park,slightly cloudy,24.0,36.0,31.0,996.0,4.0,northeast,dry
182,2018-04-08,94667.444,sachir,sunny / clear,28.0,32.0,48.0,1009.0,1.0,south,dry
183,2018-04-15,97653.9,shanghai,slightly cloudy,19.0,37.0,23.0,1018.0,1.5,west,dry
184,2018-05-13,80946.588,catalunya,cloudy,16.0,32.0,51.0,1001.0,2.0,turning south,dry
185,2018-05-27,76417.6,de-monaco,very cloudy,26.0,34.0,50.0,1015.0,1.0,turning,dry
186,2018-06-10,75140.167,montreal,slightly cloudy,20.0,37.0,28.0,1017.0,4.0,south,dry
