'396', '2016-08-26 19:40:00', 'Adelaide Oval', 'R23', '23', 'Adelaide', '10', '11', '71', 'West Coast', '14', '16', '100', '-29'
'408', '2016-09-10 19:10:00', 'Adelaide Oval', 'EF', '24', 'Adelaide', '21', '15', '141', 'North Melbourne', '12', '7', '79', '62'
'421', '2017-03-26 14:50:00', 'Adelaide Oval', 'R1', '1', 'Adelaide', '22', '15', '147', 'GWS', '14', '7', '91', '56'
'431', '2017-04-02 16:10:00', 'Adelaide Oval', 'R2', '2', 'Port Adelaide', '22', '13', '145', 'Fremantle', '8', '8', '56', '89'
'436', '2017-04-08 17:40:00', 'Adelaide Oval', 'R3', '3', 'Port Adelaide', '12', '11', '83', 'Adelaide', '15', '10', '100', '-17'
'446', '2017-04-15 19:25:00', 'Adelaide Oval', 'R4', '4', 'Adelaide', '24', '9', '153', 'Essendon', '13', '10', '88', '65'
'450', '2017-04-21 19:20:00', 'Adelaide Oval', 'R5', '5', 'Port Adelaide', '20', '17', '137', 'Carlton', '6', '11', '47', '90'
'467', '2017-04-30 16:10:00', 'Adelaide Oval', 'R6', '6', 'Adelaide', '21', '14', '140', 'Richmond', '10', '4', '64', '76'
'471', '2017-05-06 16:05:00', 'Adelaide Oval', 'R7', '7', 'Port Adelaide', '12', '15', '87', 'West Coast', '15', '7', '97', '-10'
'482', '2017-05-13 19:25:00', 'Adelaide Oval', 'R8', '8', 'Adelaide', '9', '12', '66', 'Melbourne', '17', '5', '107', '-41'
'499', '2017-05-27 19:25:00', 'Adelaide Oval', 'R10', '10', 'Adelaide', '20', '23', '143', 'Fremantle', '6', '7', '43', '100'
'503', '2017-06-01 19:20:00', 'Adelaide Oval', 'R11', '11', 'Port Adelaide', '13', '20', '98', 'Hawthorn', '7', '5', '47', '51'
'510', '2017-06-09 19:20:00', 'Adelaide Oval', 'R12', '12', 'Adelaide', '16', '15', '111', 'St Kilda', '7', '12', '54', '57'
'519', '2017-06-17 16:05:00', 'Adelaide Oval', 'R13', '13', 'Port Adelaide', '18', '13', '121', 'Brisbane Lions', '12', '9', '81', '40'
