time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,15,12,82,11,SE,67.0
01:00:00,15,12,84,11,SE,68.6
02:00:00,14,12,84,10,SE,66.2
03:00:00,14,12,86,8,SE,67.8
04:00:00,14,12,88,6,SE,66.9
05:00:00,13,12,90,5,SE,65.9
06:00:00,13,12,89,5,SE,65.2
07:00:00,15,12,80,6,SE,65.2
08:00:00,18,13,71,10,SE,71.6
09:00:00,21,14,66,13,SE,76.5
10:00:00,22,14,62,14,SE,79.7
11:00:00,23,16,62,16,SE,85.4
12:00:00,23,16,65,18,SE,86.6
13:00:00,23,16,63,19,SE,83.9
14:00:00,22,14,62,21,SE,79.9
15:00:00,21,13,62,21,SE,74.6
16:00:00,21,13,62,19,SE,72.0
17:00:00,19,12,63,18,SE,68.1
18:00:00,18,12,65,16,SE,65.5
19:00:00,17,11,67,14,SE,62.9
20:00:00,17,12,73,14,SE,66.2
21:00:00,16,12,78,13,SE,65.8
22:00:00,15,11,78,11,SE,63.5
23:00:00,15,12,80,11,SE,65.1
