time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,19,18,92,2,SE,null
01:00:00,19,18,93,0,NE,null
02:00:00,19,17,88,5,NE,null
04:00:00,19,17,88,6,SE,null
05:00:00,19,17,88,2,SE,null
06:00:00,19,17,87,2,SE,null
07:00:00,19,19,98,3,SE,null
08:00:00,20,18,89,5,SE,null
09:00:00,21,18,86,6,SE,null
10:00:00,23,18,70,6,NW,null
11:00:00,23,17,69,6,NW,null
12:00:00,26,18,59,13,NE,null
13:00:00,26,17,57,6,NE,null
14:00:00,26,18,63,18,SW,null
15:00:00,25,19,68,23,SE,null
16:00:00,23,19,76,23,SE,null
17:00:00,22,18,81,19,SE,null
18:00:00,22,18,82,19,SE,null
19:00:00,21,18,83,18,SE,null
20:00:00,20,17,83,14,SE,null
21:00:00,20,17,83,11,SE,null
22:00:00,20,17,82,11,SE,null
23:00:00,20,17,82,8,SE,null
21:00:00,-18,null,0,0,N,null
