time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,17,15,88,13,SE,82.8
01:00:00,17,16,89,11,SE,83.8
02:00:00,17,16,89,11,SE,83.9
03:00:00,17,16,89,11,SE,83.9
04:00:00,17,16,90,11,SE,84.9
05:00:00,17,16,90,10,SE,84.9
06:00:00,17,16,91,11,SE,85.9
07:00:00,17,16,91,11,SE,85.8
08:00:00,17,16,90,10,SE,84.8
09:00:00,17,16,93,10,SE,87.7
10:00:00,18,16,91,11,SE,88.9
11:00:00,18,17,90,10,SE,91.1
12:00:00,18,17,90,10,SE,91.1
13:00:00,18,17,90,11,SE,91.2
14:00:00,18,17,90,11,SE,91.3
15:00:00,18,17,94,10,SE,95.5
16:00:00,19,17,90,13,SE,94.7
17:00:00,18,17,91,11,SE,92.5
18:00:00,18,17,90,11,SE,91.5
19:00:00,18,17,90,11,SE,91.4
20:00:00,18,17,90,11,SE,91.4
21:00:00,18,16,91,10,SE,89.2
22:00:00,18,16,90,11,SE,88.1
23:00:00,18,16,90,11,SE,88.1
