time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,15,12,81,0,NW,60.8
01:00:00,16,12,81,2,NW,63.1
02:00:00,15,12,82,0,NE,61.6
03:00:00,14,12,82,0,NW,null
04:00:00,14,12,83,0,NW,null
05:00:00,14,11,83,2,NW,null
06:00:00,14,11,82,2,NW,57.2
07:00:00,13,11,82,3,NW,55.1
08:00:00,14,11,81,3,NW,56.5
09:00:00,16,12,75,6,SW,60.4
10:00:00,18,13,71,3,SE,65.8
11:00:00,20,13,66,3,SE,68.0
12:00:00,21,12,56,10,SW,61.6
13:00:00,22,12,51,8,SW,60.1
14:00:00,21,12,56,11,SE,61.7
15:00:00,21,13,62,11,SE,66.1
16:00:00,20,14,67,8,SE,69.0
17:00:00,20,14,68,8,SE,70.1
18:00:00,20,14,69,10,SE,71.1
19:00:00,19,14,71,8,SE,70.7
20:00:00,19,14,75,5,SE,72.1
21:00:00,18,13,76,5,SE,68.1
22:00:00,18,13,74,3,SE,66.2
23:00:00,17,13,76,0,SE,65.6
