time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,14,13,94,3,NE,68.4
01:00:00,14,13,94,6,N,65.8
02:00:00,13,12,93,3,NE,62.8
03:00:00,13,12,92,6,N,59.9
04:00:00,12,10,90,6,SW,54.3
05:00:00,11,9,93,3,SW,52.1
06:00:00,10,8,90,5,S,48.6
07:00:00,9,8,89,3,NW,46.2
08:00:00,9,8,89,5,SW,46.2
09:00:00,10,8,85,3,SW,45.8
10:00:00,11,8,81,3,SW,47.0
11:00:00,12,8,77,5,SW,46.3
12:00:00,12,7,73,5,SE,45.5
13:00:00,14,9,71,8,SE,49.4
14:00:00,15,8,62,6,SE,46.4
15:00:00,15,8,62,8,SE,46.4
16:00:00,16,8,59,10,SE,45.8
17:00:00,14,8,66,6,SE,47.7
18:00:00,14,8,68,5,NE,47.4
19:00:00,14,8,68,6,NE,49.2
20:00:00,14,8,69,3,NE,48.1
21:00:00,13,9,74,5,NE,49.7
22:00:00,13,9,77,5,NE,49.9
23:00:00,12,9,81,3,NE,50.6
