time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,14,11,79,6,W,56.8
01:00:00,14,11,80,6,NW,55.4
02:00:00,13,9,77,6,SW,51.4
03:00:00,12,8,78,6,SW,48.4
04:00:00,12,8,80,5,NE,47.8
05:00:00,11,9,85,5,NE,49.0
06:00:00,11,8,88,5,NE,48.8
07:00:00,11,9,89,5,NW,49.4
08:00:00,12,9,81,5,NW,50.2
09:00:00,15,10,72,3,NW,53.5
10:00:00,17,10,62,3,SW,53.1
11:00:00,19,9,53,5,SW,52.2
12:00:00,21,9,45,6,SW,49.1
13:00:00,23,8,38,10,SW,45.9
14:00:00,23,7,37,11,SE,44.7
15:00:00,23,7,34,13,SE,42.5
16:00:00,24,7,33,14,SE,42.7
17:00:00,22,7,38,13,SE,44.5
18:00:00,22,7,39,13,SE,44.1
19:00:00,21,7,41,11,SE,44.8
20:00:00,19,7,45,10,SE,44.4
21:00:00,18,7,51,6,SE,45.3
22:00:00,16,7,57,5,SE,43.9
23:00:00,14,7,62,3,SE,44.5
