time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,17,16,93,6,SW,80.7
01:00:00,17,16,94,6,SW,78.8
02:00:00,17,16,94,6,SW,81.6
03:00:00,17,16,93,6,SW,77.9
04:00:00,17,16,93,5,SW,77.9
05:00:00,16,15,94,5,SW,75.9
06:00:00,17,16,94,6,SW,78.7
07:00:00,17,16,93,6,SW,80.7
08:00:00,18,17,90,6,SW,83.8
09:00:00,19,17,87,8,SW,86.9
10:00:00,20,17,85,8,SW,87.9
11:00:00,21,18,80,10,SW,88.6
12:00:00,22,18,78,8,W,89.4
13:00:00,22,18,77,8,SW,91.3
14:00:00,22,18,76,6,NW,90.1
15:00:00,22,18,76,8,NW,90.1
16:00:00,22,18,79,8,NW,93.7
17:00:00,21,18,80,10,NW,88.5
18:00:00,21,18,80,6,NW,88.5
19:00:00,21,17,79,5,NW,84.4
20:00:00,20,16,79,3,NW,81.5
21:00:00,19,16,80,3,NW,79.7
22:00:00,18,15,80,5,NW,74.2
23:00:00,17,13,79,5,NW,65.8
