time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,18,14,77,8,NE,null
01:00:00,17,13,77,2,NE,null
02:00:00,15,12,82,3,SE,null
03:00:00,14,12,87,2,SW,null
04:00:00,16,12,77,3,NW,null
05:00:00,16,12,77,3,NW,null
06:00:00,17,12,72,5,NW,null
07:00:00,17,13,79,6,NW,null
08:00:00,21,15,70,10,NW,null
09:00:00,23,14,60,10,NW,null
10:00:00,24,14,54,11,NW,null
11:00:00,26,13,47,11,N,null
12:00:00,26,13,45,13,NW,null
13:00:00,27,13,41,13,NW,null
14:00:00,27,12,40,14,NW,null
15:00:00,28,13,39,16,NW,null
16:00:00,28,13,38,16,NE,null
17:00:00,28,13,38,18,N,null
18:00:00,28,12,37,16,NE,null
19:00:00,27,12,38,16,NE,null
20:00:00,26,12,42,13,NE,null
21:00:00,24,12,48,10,NE,null
22:00:00,22,13,55,8,NE,null
23:00:00,21,13,63,8,NE,null
