time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,17,15,88,8,SW,77.0
01:00:00,17,16,91,8,SW,79.8
02:00:00,17,16,92,8,SW,77.8
03:00:00,17,16,93,8,SW,78.8
04:00:00,17,16,94,8,SW,79.7
05:00:00,17,16,94,8,SW,79.7
06:00:00,17,16,95,6,SW,80.6
07:00:00,17,16,96,6,SW,81.5
08:00:00,17,16,96,8,SW,81.5
09:00:00,17,16,94,10,SW,82.7
10:00:00,18,17,90,11,SW,85.0
11:00:00,19,17,87,13,SW,85.1
12:00:00,19,16,84,11,SW,82.2
13:00:00,19,16,79,14,SW,80.0
14:00:00,21,15,71,14,SW,77.0
15:00:00,22,14,64,11,SW,74.3
16:00:00,22,14,62,14,SW,71.9
17:00:00,21,13,64,14,SW,69.3
18:00:00,20,14,69,11,SW,72.3
19:00:00,18,14,77,11,SW,70.2
20:00:00,18,14,78,10,SW,71.1
21:00:00,17,14,84,8,SW,71.4
22:00:00,16,13,86,6,SW,68.0
23:00:00,15,13,89,6,SW,67.9
